,yrke
Professor,3510
Physician,3370
Surgeon,958
professor,755
författare,625
Politician,580
konstnär,529
Botanist,526
Konstnär,475
Anatomist,463
Författare,394
Chemist,386
Physiologist,353
Philologist,352
Historian,319
Mathematician,308
Physicist,302
Zoologist,294
Philosopher,281
Poet,272
Theologian,256
Ophthalmologist,255
Pathologist,255
Astronomer,246
Man of letters,244
Naturalist,232
Painter,225
Author,224
Clergyman,216
politiker,204
Jurist,202
Psychiatrist,198
Geologist,197
Gynaecologist,197
Internist,190
Explorer,185
Librarian,185
Natural scientist,180
Neurologist,170
Officer,160
Tonsättare,158
Engraver,154
Orientalist,145
Gravör,141
Judge,134
Journalist,133
Antiquary,131
Editor,128
Diplomat,127
Präst,122
Bookseller,121
Hygienist,118
Bacteriologist,118
Official,117
Archaeologist,114
Publisher,114
Politiker,113
Engineer,113
Writer,113
fil. dr.,112
redaktör,108
journalist,101
Pharmacist,101
skådespelare,100
Pediatrician,99
läkare,97
Teolog,94
Mineralogist,93
Geographer,92
Pharmacologist,87
kompositör,86
Medical historian,85
Member of Parliament,85
Historiker,83
Obstetrician,82
Lawyer,79
Dermatologist,78
Läkare,77
Biologist,77
Entomologist,76
Kompositör,75
fotograf,74
direktör,74
Oto-rhino-laryngologist,71
Arkeolog,70
Dermato-venereologist,69
Printer,68
skriftställare,65
präst,64
Inventor,63
arkitekt,63
lektor,63
Photographer,62
Minister,62
arkeolog,61
Språkforskare,61
Architect,59
Bishop,59
Skådespelare,58
General,56
Histologist,55
Arkitekt,55
Publicist,53
rektor,53
översättare,53
historiker,52
docent,52
Orthopedist,51
Statesman,51
bibliotekarie,50
Fil dr,50
Naval officer,50
jurist,49
Teacher,48
Artist,48
teolog,47
Översättare,47
gravör,47
Veterinary,47
fysiker,47
Målare,47
Barrister,46
Redaktör,46
landshövding,46
Antiquarian,45
Anthropologist,45
diplomat,44
Konsthistoriker,44
Linguist,44
Medical officer,43
Collector,43
kemist,42
Sculptor,42
lärare,42
Lärare,42
Otologist,41
Filosof,41
Ämbetsman,41
biskop,40
Traveller,40
Philanthropist,39
Militär,39
ämbetsman,39
Archiater,38
Scientific author,38
Tecknare,38
Economist,37
Translator,37
Radiologist,37
skulptör,37
Zoolog,36
Bibliographer,36
Army officer,36
målare,35
poet,35
Geolog,35
Skulptör,35
regissör,35
