,yrke
physician,7092
professor,5957
surgeon,1889
konstnär,1658
författare,1485
botanist,707
politician,694
anatomist,613
gravör,583
chemist,497
physiologist,449
ophthalmologist,444
präst,437
jurist,431
poet,427
journalist,427
gynaecologist,415
philologist,412
politiker,409
redaktör,408
pathologist,401
clergyman,395
läkare,387
historian,383
mathematician,364
theologian,357
physicist,354
zoologist,350
philosopher,341
tonsättare,326
internist,319
officer,307
man of letters,304
bookseller,294
naturalist,293
direktör,290
painter,289
author,281
astronomer,279
engraver,266
kopparstickare,261
librarian,254
lantmätare,246
psychiatrist,244
kyrkoherde,244
diplomat,239
natural scientist,239
kompositör,236
geologist,234
neurologist,231
skådespelare,229
official,227
fotograf,223
explorer,220
tecknare,220
lärare,220
publisher,216
arkitekt,210
lektor,203
hygienist,201
pharmacist,197
bacteriologist,190
editor,186
teolog,183
rektor,181
fil. dr.,181
oto-rhino-laryngologist,180
orientalist,178
militär,178
arkeolog,175
engineer,175
judge,174
pediatrician,173
översättare,171
antiquary,163
historiker,163
skriftställare,161
bibliotekarie,155
writer,154
publicist,153
ämbetsman,149
obstetrician,141
docent,137
printer,136
medical historian,134
ingenjör,134
pharmacologist,132
fil dr,131
målare,129
archaeologist,128
artist,126
dermato-venereologist,125
skulptör,121
mineralogist,118
dermatologist,117
geographer,109
justerare,106
geolog,106
konsthistoriker,105
lawyer,105
photographer,104
entomologist,103
advokat,103
folkskollärare,102
fysiker,102
civilingenjör,100
orthopedist,97
tidningsman,96
affärsman,96
geograf,96
member of parliament,95
biologist,94
zoolog,94
biskop,92
teacher,92
etsare,92
språkforskare,92
filosof,90
radiologist,90
inventor,84
midwife,83
landshövding,82
histologist,81
bokförläggare,81
medical officer,81
general,81
minister,80
kapten,75
architect,74
kemist,74
grosshandlare,73
regissör,73
bishop,73
organist,73
archiater,72
konstnärinna,72
godsägare,71
urologist,70
författarinna,68
läroverkslärare,67
lärarinna,66
otologist,64
violinist,63
friherre,63
veterinary,62
botaniker,62
statesman,62
naval officer,61
museiman,61
numismatiker,61
barrister,61
oto-laryngologist,60
universitetslärare,60
skådespelerska,59
kapellmästare,58
anthropologist,57
kommunalpolitiker,57
överläkare,56
collector,55
sekreterare,55
litteraturhistoriker,55
antiquarian,55
major,54
linguist,54
bokhandlare,53
translator,53
