,arkenid,person,yrke
0,nathorst-alfred-gabriel,Alfred Nathorst,Forskare
1,"Ascheberg,-Rutger-von",Rutger von Ascheberg,Militärer
2,"Ascheberg,-Rutger-von",Rutger von Ascheberg,Ämbetsmän
3,"Juel,-Jens",Jens Juel,Konstnärer
4,rosenius-carl-olof,Carl Olof Rosenius,Präster
5,"Jansson,-Eugène",Eugène Jansson,Konstnärer
6,"Levertin,-Oscar",Oscar Levertin,Författare
7,"Levertin,-Oscar",Oscar Levertin,Litteraturkritiker
8,astrom-sverker,Sverker Åström,Diplomater
9,"Ljungdal,-Arnold",Arnold Ljungdal,Författare
10,"Wilhelmson,-Carl",Carl Wilhelmson,Konstnärer
11,"Wilhelmson,-Carl",Carl Wilhelmson,Professorer
12,"Hasselquist,-Fredrik",Fredrik Hasselquist,Forskare
13,"Hasselquist,-Fredrik",Fredrik Hasselquist,Läkare
14,"Sjöberg,-Birger",Birger Sjöberg,Författare
15,"Sjöberg,-Birger",Birger Sjöberg,Journalister
16,"Sjöberg,-Birger",Birger Sjöberg,Sångare
17,"Sonnevi,-Göran",Göran Sonnevi,Författare
18,"Järnefelt,-Armas",Armas Järnefelt,Tonsättare
19,"Järnefelt,-Armas",Armas Järnefelt,Dirigenter
20,"Salacrou,-Armand",Armand Salacrou,Dramatiker
21,"Anna,-prinsessa-av-Sverige",Anna Gustavsdotter Vasa,Prinsessor
22,"Celsius,-Olof,-d-y",Olof Celsius den yngre,Professorer
23,"Celsius,-Olof,-d-y",Olof Celsius den yngre,Biskopar
24,"Celsius,-Olof,-d-y",Olof Celsius den yngre,Politiker
25,"Celsius,-Olof,-d-y",Olof Celsius den yngre,Historiker
26,blomberg-rolf,Rolf Blomberg,Forskningsresande
27,blomberg-rolf,Rolf Blomberg,Författare
28,celsius-olof-c-d-a,Olof Celsius den äldre,Forskare
29,celsius-olof-c-d-a,Olof Celsius den äldre,Präster
30,celsius-olof-c-d-a,Olof Celsius den äldre,Professorer
31,"Ågren,-Gösta",Gösta Ågren,Författare
32,"Erskine,-Ralph,",Ralph Erskine,Arkitekter
33,"Hellström,-Håkan",Håkan Hellström,Musiker
34,"Hellström,-Håkan",Håkan Hellström,Sångare
35,"Stark,-Ulf",Ulf Stark,Författare
36,"Snoilsky,-Carl",Carl Snoilsky,Författare
37,"Snoilsky,-Carl",Carl Snoilsky,Bibliotekarier
38,"Löwenhielm,-Carl-Axel,-1772-1861",Carl Axel Löwenhielm,Militärer
39,"Löwenhielm,-Carl-Axel,-1772-1861",Carl Axel Löwenhielm,Diplomater
40,"Löwenhielm,-Carl-Axel,-1772-1861",Carl Axel Löwenhielm,Politiker
41,"Fitinghoff,-Rosa",Rosa Fitinghoff,Författare
42,"von-Dardel,-Nils",Nils von Dardel,Konstnärer
43,thesleff-ellen,Ellen Thesleff,Konstnär
44,"Rinaldi,-Angelo",Angelo Rinaldi,Författare
45,"Forseth,-Einar",Einar Forseth,Konstnärer
46,"Kyrklund,-Willy",Willy Kyrklund,Författare
47,"Kyrklund,-Willy",Willy Kyrklund,Dramatiker
48,"Madsen,-Svend-Åge",Svend Åge Madsen,Författare
49,"Enckell,-Rabbe",Rabbe Enckell,Författare
50,"Enckell,-Rabbe",Rabbe Enckell,Litteraturkritiker
51,"Enckell,-Rabbe",Rabbe Enckell,Konstkritiker
52,"Dahlin,-Olof-von",Olof von Dalin,Författare
53,"Dahlin,-Olof-von",Olof von Dalin,Historiker
54,dalin-olof-von,Olof von Dalin,Författare
55,dalin-olof-von,Olof von Dalin,Historiker
56,"Hydman-Vallien,-Ulrica",Ulrica Hydman-Vallien,Konstnärer
57,"Hedberg,-Frans",Frans Hedberg,Författare
58,"Hedberg,-Frans",Frans Hedberg,Översättare
59,"Frigel,-Pehr",Pehr Frigel,Ämbetsmän
60,"Frigel,-Pehr",Pehr Frigel,Tonsättare
61,sunden-hjalmar-2,Hjalmar Sundén,Teologer
62,sunden-hjalmar-2,Hjalmar Sundén,Präster
63,sunden-hjalmar-2,Hjalmar Sundén,Professorer
64,mansson-peder,Peder Månsson,Biskopar
65,"Rudbeck,-Johannes",Johannes Rudbeckius,Ämbetsmän
66,"Bratt,-Ivan",Ivan Bratt,Läkare
67,"Bratt,-Ivan",Ivan Bratt,Politiker
68,"Obrovský,-Jakub",Jakub Obrovský,Skulptörer
69,"Obrovský,-Jakub",Jakub Obrovský,Professorer
70,berggren-lennart,John Lennart Berggren,Sångare
71,berggren-lennart,John Lennart Berggren,Musiker
72,"Ahnlund,-Nils",Nils Ahnlund,Historiker
73,"Ahnlund,-Nils",Nils Ahnlund,Professorer
74,"Benneche,-Olaf",Olaf Benneche,Författare
75,"Marc-Wogau,-Konrad",Konrad Marc-Wogau,Professorer
76,"Broman,-Sten",Sten Broman,Tonsättare
77,"Broman,-Sten",Sten Broman,Musikkritiker
78,"Fryxell,-Anders",Anders Fryxell,Historiker
79,"Fryxell,-Anders",Anders Fryxell,Präster
80,"Annerstedt,-Claes",Claes Annerstedt,Bibliotekarier
81,stroyer-poul,Poul Ströyer,Konstnärer
82,stroyer-poul,Poul Ströyer,Författare
