,yrke
Författare,860
Konstnärer,274
Professorer,229
Politiker,158
Journalister,138
Översättare,118
Tonsättare,103
Forskare,91
Skådespelare,87
Publicister,67
Diplomater,67
Läkare,66
Präster,65
Lärare,64
Litteraturvetare,63
Ämbetsmän,60
Historiker,59
Litteraturkritiker,55
Militärer,53
Bibliotekarier,47
Poeter,46
Musiker,46
Tecknare,45
Regissörer,41
Konsthistoriker,39
Jurister,35
Bokförläggare,32
Kungar,30
Arkitekter,30
Sångare,30
Dirigenter,29
Skulptörer,26
Dramatiker,26
Operasångare,23
Biskopar,22
Teologer,20
Docenter,20
Museimän,20
Filosofer,19
Drottningar,17
Fotografer,15
Teaterchefer,15
Filmregissörer,15
Rektorer,14
Konstkritiker,13
Etnologer,12
Forskningsresande,11
Ingenjörer,10
Advokater,10
Tv-producenter,10
Riksdagsledamöter,10
Arkeologer,10
Konstnär,8
Arkivarier,8
Grafiska formgivare,8
Formgivare,7
Konsthantverkare,7
Boktryckare,7
Dansare,7
Antikvarier,6
Prinsessor,6
Tidningsmän,6
Koreografer,6
Industrimän,6
Missionärer,6
Statsmän,5
Bokbindare,5
Kejsare,5
Uppfinnare,5
Musikkritiker,5
Filmproducenter,4
Bokhandlare,4
Brukspatroner,4
Underhållare,4
Prinsar,4
Högskolelärare,4
Sjöofficerare,4
Psykologer,3
Köpmän,3
Sjuksköterskor,3
Radiochef,3
Psykoterapeuter,3
Matematiker,2
Psykoanalytiker,2
Bankirer,2
Litterär och journalistisk verksamhet,2
Upptäcktsresande,2
Generalsekreterare,2
TJänstemän,2
Programledare på tv,2
Affärsmän,1
Filmfotografer,1
Lantmätare,1
Sångpedagog,1
Landshövdingar,1
Idrottare,1
Mecenater,1
