,Yrke,Antal,SBL_SKBL
0,Abbedissa,4,both
1,Advokat,,SBL_only
2,Affärsjurist,,SBL_only
3,Affärsman,,SBL_only
4,Agitator,2,both
5,Agronom,,SBL_only
6,Akademiräntmästare,,SBL_only
7,Akademisk lärare,,SBL_only
8,Akademistallmästare,,SBL_only
9,Algolog,,SBL_only
10,Alkemist,,SBL_only
11,Anarkist,,SBL_only
12,Anatom,,SBL_only
13,Anglist,,SBL_only
14,Antikvariatsbokhandlare,,SBL_only
15,Antikvarie,1,both
16,Antikvarisk forskare,,SBL_only
17,Antropolog,,SBL_only
18,Apotekare,,SBL_only
19,Arachnolog,,SBL_only
20,Arkeolog,,SBL_only
21,Arkitekt,11,both
22,Arkitekturhistoriker,,SBL_only
23,Arkivman,,SBL_only
24,Arméofficer,,SBL_only
25,Artilleriofficer,,SBL_only
26,Artist,,SBL_only
27,Astronom,,SBL_only
28,Atlet,,SBL_only
29,Bakteriolog,,SBL_only
30,Balneolog,,SBL_only
31,Bankgrundare,,SBL_only
32,Bankinspektör,,SBL_only
33,Bankir,,SBL_only
34,Bankman,,SBL_only
35,Bantuspråkforskare,,SBL_only
36,Barnboksförfattare,,SBL_only
37,Barnhemsgrundare,,SBL_only
38,Barnmorska,2,both
39,Barnmorskelärare,,SBL_only
40,Barnpedagog,,SBL_only
41,Bedragare,,SBL_only
42,Befallningsman,,SBL_only
43,Bergmästare,,SBL_only
44,Bergsfogde,,SBL_only
45,Bergshistoriker,,SBL_only
46,Bergsingenjör,,SBL_only
47,Bergsman,,SBL_only
48,Bergsmekaniker,,SBL_only
49,Bergsråd,,SBL_only
50,Bergsvetenskapsman,,SBL_only
51,Berättare,,SBL_only
52,Bibliograf,,SBL_only
53,Bibliotekarie,17,both
54,Biblioteksinnehavare,,SBL_only
55,Biblioteksman,,SBL_only
56,Bildbyråchef,,SBL_only
57,Bildkonstnär,,SBL_only
58,Bilhandlare,,SBL_only
59,Biografägare,,SBL_only
60,Biokemist,,SBL_only
61,Biolog,,SBL_only
62,Biskop,,SBL_only
63,Blind- och dövstumpedagog,,SBL_only
64,Bokbindare,,SBL_only
65,Bokformgivare,,SBL_only
66,Bokhandlare,,SBL_only
67,Bokhistoriker,,SBL_only
68,Boksamlare,,SBL_only
69,Boktryckare,,SBL_only
70,Bonadsmålare,,SBL_only
71,Bondetågsledare,,SBL_only
72,Borgmästare,,SBL_only
73,Boskapsavlare,,SBL_only
74,Botanist,,SBL_only
75,Boxare,,SBL_only
76,Boxningspromotor,,SBL_only
77,Brevskrivare,,SBL_only
78,Brobyggare,,SBL_only
79,Brottare,,SBL_only
80,Bruksidkare,,SBL_only
81,Bruksman,,SBL_only
82,Bruksägare,6,both
83,Bryggare,,SBL_only
84,Bryolog,,SBL_only
85,Brännvinsfabrikör,,SBL_only
86,Burggreve,,SBL_only
87,Byggmästare,,SBL_only
88,Byggnadsingenjör,,SBL_only
89,Båtkonstruktör,,SBL_only
90,Cellist,,SBL_only
91,Cembalist,,SBL_only
92,Censor Librorum,,SBL_only
93,Chokladfabrikör,,SBL_only
94,Cirkusartist,,SBL_only
95,Cirkusdirektör,1,both
96,Ciselör,,SBL_only
97,Civilingenjör,,SBL_only
98,Civilminister,,SBL_only
99,Cytolog,,SBL_only
100,Dagboksförfattare,,SBL_only
101,Dansare,5,both
102,Dansmästare,,SBL_only
103,Dekan,,SBL_only
104,Dekorationsmålare,,SBL_only
105,Diakonissa,,SBL_only
106,Dialektforskare,,SBL_only
107,Diplomat,10,both
108,Dirigent,,SBL_only
109,Djurmålare,,SBL_only
110,Djurparksägare,,SBL_only
111,Dokumentärfotograf,,SBL_only
112,Domare,2,both
113,Domprost,,SBL_only
114,Donator,8,both
115,Dragspelare,,SBL_only
116,Dramatiker,,SBL_only
117,Dramatisk författare,,SBL_only
118,Drots,,SBL_only
119,Drottning,,SBL_only
120,Dräkthistoriker,,SBL_only
121,Dövstumlärare,,SBL_only
