,skblid,description,detail,occupationtype,from,place
0,AstridAagesen,Gallerist,Gallerist,Yrke,,"{'pin': {'lat': 56.245748, 'lon': 12.863881}, 'place': 'Ängelholm'}"
1,MargitAbenius,Litteraturkritiker,"Litteraturkritiker, BLM, Ord &amp; Bild, Sveriges Radio",Yrke,"{'comment': '1933', 'date': '1933'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
2,EuphrosyneAbrahamson,Sångare,Operasångare,Yrke,{'date': '1859'},"{'pin': {'lat': '48.208174', 'lon': '16.373819'}, 'place': 'Wien, Österrike'}"
3,AlmaAbrahamsson,Föreläsare,"Dövtolk, föreläsare, arrangör av kurser och fritidsaktiviteter med och för döva",Yrke,{'comment': '1930-talet'},"{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
4,IngelaMargaretaAbrahamsson,Sångare,"Vissångare, textförfattare, revyartist, bl a Andra Bullar",Yrke,{'comment': '1970-talet'},
5,KerstinAbramNilsson0,Lärare,"Lärare, Konstfackskolan, även Gerlesborgsskolan",Yrke,"{'comment': '1971', 'date': '1971'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
6,WilhelminaSofiaAcrel,Producent,Filmproducent,Yrke,"{'comment': '1933', 'date': '1933'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
7,KarinAdamsson,Handelsanställd,"Handelsbiträde, sedermera föreståndare, fr o m 1939 direktör, AB Nils Adamssons Sjukvårdsaffärer",Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
8,BirgittaAdde,Jurist,"Lagman, Leksands tingsrätt",Yrke,"{'comment': '1985', 'date': '1985'}","{'pin': {'lat': 60.730308, 'lon': 14.999892}, 'place': 'Leksand'}"
9,MariaAdelborg,Formgivare,Mönsterritare hos Handarbetets Vänner,Yrke,{'date': '1900'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
10,OttiliaAdelborg,Skolgrundare,Grundade knyppelskola,Ideellt arbete,{'date': '1903'},"{'pin': {'lat': '60.590983', 'lon': '15.070049'}, 'place': 'Gagnef'}"
11,GertrudAdelborg,Styrelseledamot,"Rimforsa lanthushållningsskola, styrelseledamot",Ideellt arbete,"{'comment': '1907', 'date': '1907'}",
12,LouiseNathaliaAdelborg,Textilkonstnär,"Textilkonstnär, formgivare, konstnär",Yrke,{'comment': '1910-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
13,AmandaAdler,Ledamot,"Ledamot, Karlstads stadsfullmäktiges pensionskommitté",Ideellt arbete,{'comment': '1890-talet'},"{'pin': {'lat': 59.402181, 'lon': 13.511498}, 'place': 'Karlstad'}"
14,CeliaAdler,Ledamot,"Ledamot, 7:e pensionsdistriktet i Göteborg",Ideellt arbete,"{'comment': '1918', 'date': '1918'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
15,RutMariaAdler,Kommun- och landstingspolitiker,"Ledamot, Lindome kommunfullmäktige, för SKP",Ideellt arbete,"{'comment': '1946', 'date': '1946'}","{'pin': {'lat': 57.5791257, 'lon': 12.0876599}, 'place': 'Lindome'}"
16,MariaAdlercreutz,Förlagsanställd,"Förlagsanställd, Almqvist &amp; Wiksell bokförlag",Yrke,"{'comment': '1980', 'date': '1980'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
17,MaudAdlercreutz,Journalist,"Journalist, krönikör, Femina",Yrke,{'comment': '1970-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
18,SophieAdlersparre,Tidskriftsredaktör,"Redaktör och skribent, Dagny",Yrke,"{'comment': '1886', 'date': '1886'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
19,SophieAdolphineAdlersparre,Lärare,Privatlärare i konst,Yrke,{'comment': '1840-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
20,MarthaAdlerstrahle,,,,,
21,EvaAdolfsson,Författare,"Författare, essäist",Yrke,"{'comment': '1980', 'date': '1980'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
22,GretaAdrian,Författare,Författare,Yrke,,
