,description
Författare,208
Lärare,147
Konstnär,114
Skådespelare,80
Socialt och filantropiskt arbete,66
Översättare,59
Kommun- och landstingspolitiker,58
Journalist,57
Företagare,45
Styrelseledamot,43
Sångare,38
Fotograf,30
Politisk verksamhet,29
Forskare,29
Tidskriftsredaktör,28
Ledamot,27
Föreståndare,27
Formgivare,27
Skribent,26
Godsägare,26
Professor,25
Sakkunnig,25
Textilkonstnär,23
Chef,23
Skolledare,21
Läkare,19
Skolgrundare,18
Bibliotekarie,17
Jurist,16
Kyrklig verksamhet,16
Skolföreståndare,15
Riksdagsledamot,15
Hovdam,15
Missionär,15
Lantbrukare,14
Litteraturkritiker,14
Konstnärlig ledare,14
"Sångare, skådespelare",13
Föreläsare,12
Kompositör,12
Redaktör,12
Kommittéledamot,12
Regissör,12
Arkitekt,11
Diplomat,10
Musiker,10
Drottning av Sverige,10
Sekreterare,10
Affärsidkare,9
Hotell- och restaurangarbete,9
Salongsvärdinna,9
Tjänsteman,9
Programledare,9
Donator,8
Teaterdirektör,8
Illustratör,7
,6
Sjukgymnast,6
Ansvarig utgivare,6
Verksamhetsgrundare,6
"Styrelseledamot, ordförande",6
Utredare,6
Ordförande,6
Husligt arbete,6
Förlagsanställd,6
Bruksägare,6
Rektor,5
"Producent, radio/TV",5
Uppfinnare,5
Sömmerska,5
Inspektor,5
Predikant,5
Dansare,5
"Skulptör, konstnär",5
Museitjänsteman,5
"Företagare, fabrikör",5
Direktör,5
Utställningsarbete,4
Biståndsarbetare,4
Representativ verksamhet,4
Konservator,4
Universitetslektor,4
Abbedissa,4
Inspektör,4
Kontorist,4
Redaktör och förlagschef,4
Gymnastikdirektör,4
Intendent,4
Kassör,4
Producent,4
Konsult,4
Trädgårdsarkitekt,3
Landshövding,3
Idrottare,3
Drottning av Danmark-Norge-Sverige,3
Hertiginna,3
Förbundsordförande,3
Sexualupplysare,3
Ombudsman,3
Lektor,3
Gallerist,3
Konsulent,3
Verkställande direktör,3
Genealog,3
"Arkivbiträde, folkminnesupptecknare",3
Minister,3
Präst,3
Affärskvinna,3
Mecenat,3
Amanuens,2
Urmakare,2
Facklig verksamhet,2
Silversmed,2
Kurator,2
Trädgårdsarbete,2
Inredningsarkitekt,2
Skulptör,2
Folkskollärare,2
Domare,2
Agitator,2
Handelsanställd,2
Guvernant,2
Sjuksköterska,2
Textilarbetare,2
Boterska,2
Vice ordförande,2
Botaniker,2
Barnmorska,2
Generalsekreterare,2
Förbundssekreterare,2
Koreograf,2
Gravör,2
Filmcensor,2
Frälsningssoldat,2
Söndagsskollärare,2
Polissyster,2
Läroverksadjunkt,2
Ekonom,2
Stadsrevisor,2
Barnflicka,2
Psykoterapeut,2
Rallyförare,1
"Hantlangare, dräng",1
Drottning av Norge,1
Kemist,1
"Journalist, kåsör",1
Redaktör och utgivare,1
Spåkvinna,1
Barndanspedagog,1
Museichef,1
"Författare, översättare",1
Förmyndare,1
Bankanställd,1
Nattklubbsägare,1
Sjukvårdare,1
Antikvarie,1
Typograf,1
Fabriksarbetare,1
"Författare, kulturjournalist",1
Nunna,1
Tandläkare,1
Tolk,1
Sufflör,1
"Designer, företagsgrundare",1
Långivare,1
Redare,1
Kunglig mätress,1
Jurymedlem,1
"Föreläsare, journalist",1
Husmor i ett stort hushåll med mycken representation i Göteborg,1
Designer,1
Änkedrottning,1
Etnolog,1
Musikkritiker,1
Forskarassistent,1
Bildterapeut,1
Prefekt,1
Cirkusdirektör,1
Stipendieinstiftare,1
Modedirektris,1
Kolumnist,1
Städerska,1
Tobaksarbetare,1
Skrivbiträde,1
Informant,1
Massör,1
Farmaceut,1
Slottsfru,1
Telefonist,1
Ingenjör,1
Guide,1
Kommunpolitiker,1
Folkminnesupptecknare,1
Polismästare,1
Psykolog,1
Volontär,1
Reseledare,1
Rättsläkare,1
Musiklärare,1
Litteratör,1
Föreläsare och skribent,1
Kennelägare,1
Entomolog,1
"Författare, dramatiker, poet, kulturskribent, bloggare",1
Brevbärare,1
Pilot,1
Instruktör,1
Drottning av Sverige och Polen,1
Konsumentupplysare,1
Inredningsrådgivare,1
Reporter,1
Försäljare,1
Klostergrundare,1
Lagerbiträde,1
Renägare,1
Hovkanslist,1
Fastighetsmäklare,1
Arbetare,1
Arkivarie,1
Hälsorådgivare,1
Barnträdgårdsledare,1
Prinsessa,1
Lärare och koreograf,1
Studieorganisatör,1
Socialarbetare,1
Lotta,1
Soldat,1
Drottning av Sverige och Norge,1
"Författare, illustratör",1
