,caption.sv,entityTypeName.sv
0,Livsroll (KulturIT AS),Dataset
1,Adelsperson,Term
34,Affärskvinna,Term
35,Affärsman,Term
3,Ambassadör,Term
4,Antropolog,Term
26,Apotekare,Term
5,Arkeolog,Term
6,Arkitekt,Term
7,Arkivarie,Term
8,Artist,Term
9,Astronom,Term
10,Bibliotekarie,Term
11,Biolog,Term
12,Biskop,Term
13,Botaniker,Term
14,Brukspatron,Term
16,Dansare,Term
17,Designer,Term
18,Diplomat,Term
20,Dirigent,Term
21,Domare,Term
22,Dramatiker,Term
23,Drottning,Term
115,Ekonom,Term
25,Etnolog,Term
27,Filantrop,Term
28,Filmproducent,Term
29,Filmskapare,Term
30,Filolog,Term
31,Filosof,Term
2,Flyg- och rymdingenjör,Term
36,Forskare,Term
37,Forskningsresande,Term
38,Fotograf,Term
39,Fysiker,Term
81,Fältherre,Term
19,Företagsledare,Term
32,Författare,Term
33,Förläggare,Term
40,Generaldirektör,Term
41,Geofysiker,Term
42,Geograf,Term
43,Geolog,Term
44,Godsägare,Term
45,Gravör,Term
61,Handelsman,Term
48,Hantverkare,Term
47,Hemslöjdare,Term
46,Historiker,Term
49,Idrottare,Term
50,Illustratör,Term
51,Industriledare,Term
52,Informationsvetare,Term
53,Ingenjör,Term
54,Inredningsarkitekt,Term
55,Journalist,Term
56,Jurist,Term
57,Kartograf,Term
58,Kejsare,Term
59,Kejsarinna,Term
62,Kommendörkapten,Term
63,Kompositör,Term
66,Konservator,Term
71,Konsthantverkare,Term
70,Konsthistoriker,Term
72,Konstnär,Term
67,Konstruktör,Term
68,Koreograf,Term
102,Kulturgeograf,Term
69,Kulturhistoriker,Term
64,Kung,Term
65,Kunglighet,Term
15,Kurator,Term
60,Kändis,Term
74,Lingvist,Term
75,Litterär gestalt,Term
76,Lyriker,Term
73,Läkare,Term
77,Lärare,Term
78,Matematiker,Term
79,Meteorolog,Term
80,Militär,Term
82,Monark,Term
83,Museiman,Term
84,Musiker,Term
85,Möbelsnickare,Term
86,Numismatiker,Term
87,Oceanograf,Term
90,Ornamentbildhuggare,Term
91,Osteolog,Term
92,Paleontolog,Term
94,Poet,Term
95,Polis,Term
96,Politiker,Term
98,Producent,Term
99,Programmerare,Term
97,Präst,Term
93,Påve,Term
100,Redaktör,Term
105,Redare,Term
101,Regissör,Term
103,Samlare,Term
104,Scenograf,Term
107,Skulptör,Term
106,Skådespelare,Term
113,Sångare,Term
108,Talare,Term
109,Textilhistoriker,Term
110,Tillverkare,Term
89,Uppfinnare,Term
88,Upptäcktsresande,Term
112,Vetenskapsman,Term
114,Ädelsmed,Term
24,Ämbetsman,Term
111,Översättare,Term
